item_uid,exclude,exclusion_datasets,item,item_task (from item),item_uid (from item)
math_line_67_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_67_100,math,math_line_67_100
math_line_071_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_071_1,math,math_line_071_1
math_line_71_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_71_100,math,math_line_71_100
math_line_075_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_075_1,math,math_line_075_1
math_line_76_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_76_1000,math,math_line_76_1000
math_line_79_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_79_100,math,math_line_79_100
math_line_83_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_83_100,math,math_line_83_100
math_line_087_1,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_087_1,math,math_line_087_1
math_line_87_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_87_100,math,math_line_87_100
math_line_92_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_92_100,math,math_line_92_100
math_line_95_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_95_100,math,math_line_95_100
math_line_98_100,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_98_100,math,math_line_98_100
math_line_126_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_126_1000,math,math_line_126_1000
math_line_143_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_143_1000,math,math_line_143_1000
math_line_186_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_186_1000,math,math_line_186_1000
math_line_214_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_214_1000,math,math_line_214_1000
math_line_258_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_258_1000,math,math_line_258_1000
math_line_272_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_272_1000,math,math_line_272_1000
math_line_310_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_310_1000,math,math_line_310_1000
math_line_362_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_362_1000,math,math_line_362_1000
math_line_385_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_385_1000,math,math_line_385_1000
math_line_417_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_417_1000,math,math_line_417_1000
math_line_461_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_461_1000,math,math_line_461_1000
math_line_478_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_478_1000,math,math_line_478_1000
math_line_507_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_507_1000,math,math_line_507_1000
math_line_542_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_542_1000,math,math_line_542_1000
math_line_591_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_591_1000,math,math_line_591_1000
math_line_639_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_639_1000,math,math_line_639_1000
math_line_644_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_644_1000,math,math_line_644_1000
math_line_676_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_676_1000,math,math_line_676_1000
math_line_711_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_711_1000,math,math_line_711_1000
math_line_738_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_738_1000,math,math_line_738_1000
math_line_782_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_782_1000,math,math_line_782_1000
math_line_831_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_831_1000,math,math_line_831_1000
math_line_856_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_856_1000,math,math_line_856_1000
math_line_874_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_874_1000,math,math_line_874_1000
math_line_926_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_926_1000,math,math_line_926_1000
math_line_941_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_941_1000,math,math_line_941_1000
math_line_984_1000,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_line_984_1000,math,math_line_984_1000
math_slider_6_10,,"pilot_mpieva_de_main,pilot_western_ca_main,pilot_uniandes_co_bogota,pilot_uniandes_co_rural",math_slider_6_10,math,math_slider_6_10
